Preprocessed_Sloka,Tokenss
अति रूपेण वै सीता चातिगर्वेण रावणः। अतिदानाद् बलिर्बद्धो ह्यति सर्वत्र वर्जयेत्॥,"['अति', 'रूपेण', 'वै', 'सीता', 'चातिगर्वेण', 'रावणः।', 'अतिदानाद्', 'बलिर्बद्धो', 'ह्यति', 'सर्वत्र', 'वर्जयेत्॥']"
यदभावि न तदभावी भावि चेन्न तदन्यथा ॥,"['यदभावि', 'न', 'तदभावी', 'भावि', 'चेन्न', 'तदन्यथा', '॥']"
ज्ञात्वापि दोषमेव करोति लोकः ॥,"['ज्ञात्वापि', 'दोषमेव', 'करोति', 'लोकः', '॥']"
हस्ती त्वंकुशमात्रेण बाजो हस्तेन तापते। शृङ्गीलकुटहस्तेन खड्गहस्तेन दुर्जनः॥,"['हस्ती', 'त्वंकुशमात्रेण', 'बाजो', 'हस्तेन', 'तापते।', 'शृङ्गीलकुटहस्तेन', 'खड्गहस्तेन', 'दुर्जनः॥']"
शान्तितुल्यं तपो नास्ति न सन्तोषात्परं सुखम्। न तृष्णया परो व्याधिर्न च धर्मो दयापरः॥,"['शान्तितुल्यं', 'तपो', 'नास्ति', 'न', 'सन्तोषात्परं', 'सुखम्।', 'न', 'तृष्णया', 'परो', 'व्याधिर्न', 'च', 'धर्मो', 'दयापरः॥']"
अनुसूयुः कृतप्रज्ञः शोभनान्याचरन् सदा। नकृच्छं महदाप्नोति सर्वत्र च विरोचते ॥,"['अनुसूयुः', 'कृतप्रज्ञः', 'शोभनान्याचरन्', 'सदा।', 'नकृच्छं', 'महदाप्नोति', 'सर्वत्र', 'च', 'विरोचते', '॥']"
उद्यमे नावसीदति ॥,"['उद्यमे', 'नावसीदति', '॥']"
संसारयति कृत्यानि सर्वत्र विचिकित्सते। चिरं करोति क्षिप्रार्थे स मूढो भरतर्षभ ॥,"['संसारयति', 'कृत्यानि', 'सर्वत्र', 'विचिकित्सते।', 'चिरं', 'करोति', 'क्षिप्रार्थे', 'स', 'मूढो', 'भरतर्षभ', '॥']"
हस्तस्य भूषणं दानम् ॥,"['हस्तस्य', 'भूषणं', 'दानम्', '॥']"
मौनं सर्वार्थसाधनम् ॥,"['मौनं', 'सर्वार्थसाधनम्', '॥']"
त्यज दुर्जनसंसर्गं भज साधुसमागमम् । कुरु पुण्यमहोरात्रं स्मर नित्यमनित्यतः॥,"['त्यज', 'दुर्जनसंसर्गं', 'भज', 'साधुसमागमम्', '।', 'कुरु', 'पुण्यमहोरात्रं', 'स्मर', 'नित्यमनित्यतः॥']"
मृदुर्हि परिभूयते ॥,"['मृदुर्हि', 'परिभूयते', '॥']"
अमित्रं कुरुते मित्रं मित्रं द्वेष्टि हिनस्ति च । कर्म चारभते दुष्टं तमाहुर्मूढचेतसम् ॥,"['अमित्रं', 'कुरुते', 'मित्रं', 'मित्रं', 'द्वेष्टि', 'हिनस्ति', 'च', '।', 'कर्म', 'चारभते', 'दुष्टं', 'तमाहुर्मूढचेतसम्', '॥']"
जन्ममृत्युर्नियत्येको भुनक्तयेकः शुभाशुभम्। नरकेषु पतत्येकः एको याति परां गतिम्॥,"['जन्ममृत्युर्नियत्येको', 'भुनक्तयेकः', 'शुभाशुभम्।', 'नरकेषु', 'पतत्येकः', 'एको', 'याति', 'परां', 'गतिम्॥']"
यद् दूरं यद् दुराराध्यं यच्च दूरे व्यवस्थितम् । तत्सर्वं तपसा साध्यं तपो हि दुरतिक्रमम् ॥,"['यद्', 'दूरं', 'यद्', 'दुराराध्यं', 'यच्च', 'दूरे', 'व्यवस्थितम्', '।', 'तत्सर्वं', 'तपसा', 'साध्यं', 'तपो', 'हि', 'दुरतिक्रमम्', '॥']"
अर्थेषणा न व्यसनेषु गण्यते ॥,"['अर्थेषणा', 'न', 'व्यसनेषु', 'गण्यते', '॥']"
विनयाद् याति पात्रताम् ॥,"['विनयाद्', 'याति', 'पात्रताम्', '॥']"
यज्ञो दानमध्ययनं तपश्च चत्वार्येतान्यन्वेतानि सणि। दमः सत्यमार्जवमानृशंस्यं चत्वार्येतान्यनुयान्ति सन्तः ॥,"['यज्ञो', 'दानमध्ययनं', 'तपश्च', 'चत्वार्येतान्यन्वेतानि', 'सणि।', 'दमः', 'सत्यमार्जवमानृशंस्यं', 'चत्वार्येतान्यनुयान्ति', 'सन्तः', '॥']"
भाग्यं फ़लति सर्वत्र न विद्या न च पौरुषम् ॥,"['भाग्यं', 'फ़लति', 'सर्वत्र', 'न', 'विद्या', 'न', 'च', 'पौरुषम्', '॥']"
वरयेत्कुलजां प्राज्ञो निरूपामपि कन्यकाम्। रूपवतीं न नीचस्य विवाहः सदृशे कुले ॥,"['वरयेत्कुलजां', 'प्राज्ञो', 'निरूपामपि', 'कन्यकाम्।', 'रूपवतीं', 'न', 'नीचस्य', 'विवाहः', 'सदृशे', 'कुले', '॥']"
अनुशासनेन एव मनुष्यः महान् भवति ॥,"['अनुशासनेन', 'एव', 'मनुष्यः', 'महान्', 'भवति', '॥']"
ययोश्चित्तेन वा चित्तं निभृतं निभृतेन वा। समेति प्रज्ञया प्रज्ञा तयोमैत्री न जीवर्यति ॥,"['ययोश्चित्तेन', 'वा', 'चित्तं', 'निभृतं', 'निभृतेन', 'वा।', 'समेति', 'प्रज्ञया', 'प्रज्ञा', 'तयोमैत्री', 'न', 'जीवर्यति', '॥']"
न नित्यं लभते दुःखं न नित्यं लभते सुखम् ॥,"['न', 'नित्यं', 'लभते', 'दुःखं', 'न', 'नित्यं', 'लभते', 'सुखम्', '॥']"
अधना धनमिच्छन्ति वाचं चैव चतुष्पदाः। मानवाः स्वर्गमिच्छन्ति मोक्षमिच्छन्ति देवताः॥,"['अधना', 'धनमिच्छन्ति', 'वाचं', 'चैव', 'चतुष्पदाः।', 'मानवाः', 'स्वर्गमिच्छन्ति', 'मोक्षमिच्छन्ति', 'देवताः॥']"
आत्मापराधवृक्षस्य फलान्येतानि देहिनाम् । दारिद्रयरोग दुःखानि बन्धनव्यसनानि च॥,"['आत्मापराधवृक्षस्य', 'फलान्येतानि', 'देहिनाम्', '।', 'दारिद्रयरोग', 'दुःखानि', 'बन्धनव्यसनानि', 'च॥']"
प्रत्युत्थानं च युद्धं च संविभागश्च बन्धुषु। स्वयमाक्रम्य भोक्तं च शिक्षेच्चत्वारि कुक्कुटात्॥,"['प्रत्युत्थानं', 'च', 'युद्धं', 'च', 'संविभागश्च', 'बन्धुषु।', 'स्वयमाक्रम्य', 'भोक्तं', 'च', 'शिक्षेच्चत्वारि', 'कुक्कुटात्॥']"
बुद्धयो भयं प्रणुदति तपसा विन्दते महत्। गुरुशुश्रूषया ज्ञानं शान्तिं योगेन विन्दति ॥,"['बुद्धयो', 'भयं', 'प्रणुदति', 'तपसा', 'विन्दते', 'महत्।', 'गुरुशुश्रूषया', 'ज्ञानं', 'शान्तिं', 'योगेन', 'विन्दति', '॥']"
महते योऽपकाराय नरस्य प्रभवेत्ररः। तेन वैरं समासज्य दूरस्थोऽमीति नाश्चसेत् ॥,"['महते', 'योऽपकाराय', 'नरस्य', 'प्रभवेत्ररः।', 'तेन', 'वैरं', 'समासज्य', 'दूरस्थोऽमीति', 'नाश्चसेत्', '॥']"
समवेक्ष्येह धर्माथौं सम्भारान् योऽधिगच्छति। स वै सम्भृतसम्भारः सततं सुखमेधते ॥,"['समवेक्ष्येह', 'धर्माथौं', 'सम्भारान्', 'योऽधिगच्छति।', 'स', 'वै', 'सम्भृतसम्भारः', 'सततं', 'सुखमेधते', '॥']"
गुणो भूषयते रूपं शीलं भूषयते कुलम्। सिद्धिर्भूषयते विद्यां भोगो भूषयते धनम्॥,"['गुणो', 'भूषयते', 'रूपं', 'शीलं', 'भूषयते', 'कुलम्।', 'सिद्धिर्भूषयते', 'विद्यां', 'भोगो', 'भूषयते', 'धनम्॥']"
वरं मौनं कार्यं न च वचनमुक्तं यदनृतम् ॥,"['वरं', 'मौनं', 'कार्यं', 'न', 'च', 'वचनमुक्तं', 'यदनृतम्', '॥']"
को हि भारः समर्थानां किं दूर व्यवसायिनाम्। को विदेश सुविद्यानां को परः प्रियवादिनम्॥,"['को', 'हि', 'भारः', 'समर्थानां', 'किं', 'दूर', 'व्यवसायिनाम्।', 'को', 'विदेश', 'सुविद्यानां', 'को', 'परः', 'प्रियवादिनम्॥']"
एकाकिना तपो द्वाभ्यां पठनं गायनं त्रिभिः। चतुर्भिगमन क्षेत्रं पञ्चभिर्बहुभि रणम्॥,"['एकाकिना', 'तपो', 'द्वाभ्यां', 'पठनं', 'गायनं', 'त्रिभिः।', 'चतुर्भिगमन', 'क्षेत्रं', 'पञ्चभिर्बहुभि', 'रणम्॥']"
ईर्ष्यी घृणी न संतुष्टः क्रोधनो नित्यशङ्कितः। परभाग्योपजीवी च षडेते नित्यदुःखिताः ॥,"['ईर्ष्यी', 'घृणी', 'न', 'संतुष्टः', 'क्रोधनो', 'नित्यशङ्कितः।', 'परभाग्योपजीवी', 'च', 'षडेते', 'नित्यदुःखिताः', '॥']"
सत्यभाषणं पुण्यं वर्तते ॥,"['सत्यभाषणं', 'पुण्यं', 'वर्तते', '॥']"
दुरनुबध्नं कार्य साधयेत् ॥,"['दुरनुबध्नं', 'कार्य', 'साधयेत्', '॥']"
पंच त्वाऽनुगमिष्यन्ति यत्र यत्र गमिष्यसि । मित्राण्यमित्रा मध्यस्था उपजीव्योपजीविनः ॥,"['पंच', 'त्वाऽनुगमिष्यन्ति', 'यत्र', 'यत्र', 'गमिष्यसि', '।', 'मित्राण्यमित्रा', 'मध्यस्था', 'उपजीव्योपजीविनः', '॥']"
दरिद्रता धीरयता विराजते कुवस्त्रता स्वच्छतया विराजते। कदन्नता चोष्णतया विराजते कुरूपता शीलतया विराजते॥,"['दरिद्रता', 'धीरयता', 'विराजते', 'कुवस्त्रता', 'स्वच्छतया', 'विराजते।', 'कदन्नता', 'चोष्णतया', 'विराजते', 'कुरूपता', 'शीलतया', 'विराजते॥']"
उद्योगसम्पन्नं समुपैति लक्ष्मीः ॥,"['उद्योगसम्पन्नं', 'समुपैति', 'लक्ष्मीः', '॥']"
यो ध्रुवाणि परित्यज्य ह्यध्रुवं परिसेवते। ध्रुवाणि तस्य नश्यन्ति चाध्रुवं नष्टमेव तत् ॥,"['यो', 'ध्रुवाणि', 'परित्यज्य', 'ह्यध्रुवं', 'परिसेवते।', 'ध्रुवाणि', 'तस्य', 'नश्यन्ति', 'चाध्रुवं', 'नष्टमेव', 'तत्', '॥']"
आक्रु श्मानो नाक्रोशेन्मन्युरेव तितिक्षतः। आक्रोष्टारं निर्दहति सुकृतं चास्य विन्दति॥,"['आक्रु', 'श्मानो', 'नाक्रोशेन्मन्युरेव', 'तितिक्षतः।', 'आक्रोष्टारं', 'निर्दहति', 'सुकृतं', 'चास्य', 'विन्दति॥']"
निषेवते प्रशस्तानी निन्दितानी न सेवते । अनास्तिकः श्रद्धान एतत् पण्डितलक्षणम् ॥,"['निषेवते', 'प्रशस्तानी', 'निन्दितानी', 'न', 'सेवते', '।', 'अनास्तिकः', 'श्रद्धान', 'एतत्', 'पण्डितलक्षणम्', '॥']"
जरा रुपं हरति हि धैर्यमाशा मृत्युः प्राणान् धर्मचर्यामसूया। क्रोधः श्रियं शिलमनार्यसेवा हृियं कामः सर्वमेवाभिमानः॥,"['जरा', 'रुपं', 'हरति', 'हि', 'धैर्यमाशा', 'मृत्युः', 'प्राणान्', 'धर्मचर्यामसूया।', 'क्रोधः', 'श्रियं', 'शिलमनार्यसेवा', 'हृियं', 'कामः', 'सर्वमेवाभिमानः॥']"
स्वर्गस्थितानामिह जीवलोके चत्वारि चिह्नानि वसन्ति देहे। दानप्रसङ्गो मधुरा च वाणी देवार्चनं ब्राह्मणतर्पणं च॥,"['स्वर्गस्थितानामिह', 'जीवलोके', 'चत्वारि', 'चिह्नानि', 'वसन्ति', 'देहे।', 'दानप्रसङ्गो', 'मधुरा', 'च', 'वाणी', 'देवार्चनं', 'ब्राह्मणतर्पणं', 'च॥']"
बहूनां चैव सत्तवानां रिपुञ्जयः । वर्षान्धाराधरो मेधस्तृणैरपि निवार्यते॥,"['बहूनां', 'चैव', 'सत्तवानां', 'रिपुञ्जयः', '।', 'वर्षान्धाराधरो', 'मेधस्तृणैरपि', 'निवार्यते॥']"
कष्टं च खलु मूर्खत्वं कष्ट च खलु यौवनम्। कष्टात्कष्टतरं चैव परगृहेनिवासनम् ॥,"['कष्टं', 'च', 'खलु', 'मूर्खत्वं', 'कष्ट', 'च', 'खलु', 'यौवनम्।', 'कष्टात्कष्टतरं', 'चैव', 'परगृहेनिवासनम्', '॥']"
एकमेवाद्वितीयम तद् यद् राजन्नावबुध्यसे। सत्यम स्वर्गस्य सोपानम् पारवारस्य नैरिव ॥,"['एकमेवाद्वितीयम', 'तद्', 'यद्', 'राजन्नावबुध्यसे।', 'सत्यम', 'स्वर्गस्य', 'सोपानम्', 'पारवारस्य', 'नैरिव', '॥']"
सहायः समसुखदुःखः ॥,"['सहायः', 'समसुखदुःखः', '॥']"
विद्वान् प्रशस्यते लोके विद्वान् सर्वत्र गौरवम्। विद्वया लभते सर्वं विद्या सर्वत्र पूज्यते॥,"['विद्वान्', 'प्रशस्यते', 'लोके', 'विद्वान्', 'सर्वत्र', 'गौरवम्।', 'विद्वया', 'लभते', 'सर्वं', 'विद्या', 'सर्वत्र', 'पूज्यते॥']"
जलबिन्दुनिपातेन क्रमशः पूर्यते घटः। स हेतु सर्वविद्यानां धर्मस्य च धनस्य च॥,"['जलबिन्दुनिपातेन', 'क्रमशः', 'पूर्यते', 'घटः।', 'स', 'हेतु', 'सर्वविद्यानां', 'धर्मस्य', 'च', 'धनस्य', 'च॥']"
उपसर्गेऽन्यच्रके च दुर्भिक्षे च भयावहे। असाधुजनसम्पर्के पलायति स जीवति॥,"['उपसर्गेऽन्यच्रके', 'च', 'दुर्भिक्षे', 'च', 'भयावहे।', 'असाधुजनसम्पर्के', 'पलायति', 'स', 'जीवति॥']"
नैव पश्यति जन्मान्धः कामान्धो नैव पश्यति। मदोन्मत्ता न पश्यन्ति अर्थी दोषं न पश्यति॥,"['नैव', 'पश्यति', 'जन्मान्धः', 'कामान्धो', 'नैव', 'पश्यति।', 'मदोन्मत्ता', 'न', 'पश्यन्ति', 'अर्थी', 'दोषं', 'न', 'पश्यति॥']"
यस्मिन् देशे न सम्मानो न वृत्तिर्न च बान्धवाः। न च विद्यागमोऽप्यस्ति वासस्तत्र न कारयेत् ॥,"['यस्मिन्', 'देशे', 'न', 'सम्मानो', 'न', 'वृत्तिर्न', 'च', 'बान्धवाः।', 'न', 'च', 'विद्यागमोऽप्यस्ति', 'वासस्तत्र', 'न', 'कारयेत्', '॥']"
चिकीर्षितं विप्रकृतं च यस्य नान्ये जनाः कर्म जानन्ति किञ्चित् । मन्त्रे गुप्ते सम्यगनुष्ठिते च नाल्पोऽप्यस्य च्यवते कश्चिदर्थः ॥,"['चिकीर्षितं', 'विप्रकृतं', 'च', 'यस्य', 'नान्ये', 'जनाः', 'कर्म', 'जानन्ति', 'किञ्चित्', '।', 'मन्त्रे', 'गुप्ते', 'सम्यगनुष्ठिते', 'च', 'नाल्पोऽप्यस्य', 'च्यवते', 'कश्चिदर्थः', '॥']"
दाने तपसि शौर्ये च विज्ञाने विनये नये । विस्मयो न हि कर्तव्यो बहुरत्ना वसुन्धरा॥,"['दाने', 'तपसि', 'शौर्ये', 'च', 'विज्ञाने', 'विनये', 'नये', '।', 'विस्मयो', 'न', 'हि', 'कर्तव्यो', 'बहुरत्ना', 'वसुन्धरा॥']"
प्रस्तावसदृशं वाक्यं प्रभावसदृशं प्रियम् । आत्मशक्तिसमं कोपं यो जानाति स पण्डितः॥,"['प्रस्तावसदृशं', 'वाक्यं', 'प्रभावसदृशं', 'प्रियम्', '।', 'आत्मशक्तिसमं', 'कोपं', 'यो', 'जानाति', 'स', 'पण्डितः॥']"
मित्रसंग्रहेण बलं सम्पद्यते ॥,"['मित्रसंग्रहेण', 'बलं', 'सम्पद्यते', '॥']"
न सुखाल्लभ्यते सुखम् ॥,"['न', 'सुखाल्लभ्यते', 'सुखम्', '॥']"
एतदर्थ कुलीनानां नृपाः कुर्वन्ति संग्रहम्। आदिमध्यावसानेषु न त्यजन्ति च ते नृपम् ॥,"['एतदर्थ', 'कुलीनानां', 'नृपाः', 'कुर्वन्ति', 'संग्रहम्।', 'आदिमध्यावसानेषु', 'न', 'त्यजन्ति', 'च', 'ते', 'नृपम्', '॥']"
वृध्दा न ते ये न वदन्ति धर्मम् ॥,"['वृध्दा', 'न', 'ते', 'ये', 'न', 'वदन्ति', 'धर्मम्', '॥']"
यदतप्तं प्रणमति न तत् सन्तापयन्त्यपि। यश्च स्वयं नतं दारुं न तत् सत्रमयन्त्यपि ॥,"['यदतप्तं', 'प्रणमति', 'न', 'तत्', 'सन्तापयन्त्यपि।', 'यश्च', 'स्वयं', 'नतं', 'दारुं', 'न', 'तत्', 'सत्रमयन्त्यपि', '॥']"
यः कार्यं न पश्यति सोऽन्धः ॥,"['यः', 'कार्यं', 'न', 'पश्यति', 'सोऽन्धः', '॥']"
चत्वारि राज्ञा तु महाबलेना वर्ज्यान्याहु पण्डितस्तानि विद्यात् । अल्पप्रज्ञै सह मन्त्रं न कुर्यात दीर्घसुत्रै रभसैश्चारणैश्च ॥,"['चत्वारि', 'राज्ञा', 'तु', 'महाबलेना', 'वर्ज्यान्याहु', 'पण्डितस्तानि', 'विद्यात्', '।', 'अल्पप्रज्ञै', 'सह', 'मन्त्रं', 'न', 'कुर्यात', 'दीर्घसुत्रै', 'रभसैश्चारणैश्च', '॥']"
सुखस्य मूलं धर्मः ॥,"['सुखस्य', 'मूलं', 'धर्मः', '॥']"
अष्टौ गुणाः पुरुषं दीपयन्ति प्रज्ञा च कौल्यं च दमः श्रुतं च। पराक्रमश्चाबहुभाषिता च दानं यथाशक्ति कृतज्ञता च ॥,"['अष्टौ', 'गुणाः', 'पुरुषं', 'दीपयन्ति', 'प्रज्ञा', 'च', 'कौल्यं', 'च', 'दमः', 'श्रुतं', 'च।', 'पराक्रमश्चाबहुभाषिता', 'च', 'दानं', 'यथाशक्ति', 'कृतज्ञता', 'च', '॥']"
आलस्योपहता विद्या परहस्तं गतं धनम्। अल्पबीजहतं क्षेत्रं हतं सैन्यमनायकम्॥,"['आलस्योपहता', 'विद्या', 'परहस्तं', 'गतं', 'धनम्।', 'अल्पबीजहतं', 'क्षेत्रं', 'हतं', 'सैन्यमनायकम्॥']"
जिता सभा वस्त्रवता मिष्टाशा गोमता जिता। अध्वा जितो यानवता सर्वं शीलवता जितम् ॥,"['जिता', 'सभा', 'वस्त्रवता', 'मिष्टाशा', 'गोमता', 'जिता।', 'अध्वा', 'जितो', 'यानवता', 'सर्वं', 'शीलवता', 'जितम्', '॥']"
ते पुत्रा ये पितुर्भक्ताः ॥,"['ते', 'पुत्रा', 'ये', 'पितुर्भक्ताः', '॥']"
दूरस्थोऽपि न दूरस्थो यो यस्य मनसि स्थितः । यो यस्य हृदये नास्ति समीपस्थोऽपि दूरतः॥,"['दूरस्थोऽपि', 'न', 'दूरस्थो', 'यो', 'यस्य', 'मनसि', 'स्थितः', '।', 'यो', 'यस्य', 'हृदये', 'नास्ति', 'समीपस्थोऽपि', 'दूरतः॥']"
षडेव तु गुणाः पुंसा न हातव्याः कदाचन। सत्यं दानमनालस्यमनसूया क्षमा धृतिः ॥,"['षडेव', 'तु', 'गुणाः', 'पुंसा', 'न', 'हातव्याः', 'कदाचन।', 'सत्यं', 'दानमनालस्यमनसूया', 'क्षमा', 'धृतिः', '॥']"
बलवान हीनेन विग्रहणीयात् ॥,"['बलवान', 'हीनेन', 'विग्रहणीयात्', '॥']"
सत्येन रक्ष्यते धर्मो विद्या योगेन रक्ष्यते । मृजया रक्ष्यते रुपं कुलं वृत्तेन रक्ष्यते ॥,"['सत्येन', 'रक्ष्यते', 'धर्मो', 'विद्या', 'योगेन', 'रक्ष्यते', '।', 'मृजया', 'रक्ष्यते', 'रुपं', 'कुलं', 'वृत्तेन', 'रक्ष्यते', '॥']"
अजीर्णे भेषजं वारि जीर्णे तद् बलप्रदम्। भोजने चामृतं वारि भोजनान्तें विषप्रदम्॥,"['अजीर्णे', 'भेषजं', 'वारि', 'जीर्णे', 'तद्', 'बलप्रदम्।', 'भोजने', 'चामृतं', 'वारि', 'भोजनान्तें', 'विषप्रदम्॥']"
सदाचारः सर्वेषां धर्माणां श्रेष्ठः अस्ति ॥,"['सदाचारः', 'सर्वेषां', 'धर्माणां', 'श्रेष्ठः', 'अस्ति', '॥']"
विद्वान सर्वत्र पूज्यते ॥,"['विद्वान', 'सर्वत्र', 'पूज्यते', '॥']"
दुःखादुद्विजते जन्तुः सुखं सर्वाय रुच्यते ॥,"['दुःखादुद्विजते', 'जन्तुः', 'सुखं', 'सर्वाय', 'रुच्यते', '॥']"
प्रसादो निष्फलो यस्य क्रोधश्चापि निरर्थकः। न तं भर्तारमिच्छनित षण्ढं पतिमिव स्त्रियः ॥,"['प्रसादो', 'निष्फलो', 'यस्य', 'क्रोधश्चापि', 'निरर्थकः।', 'न', 'तं', 'भर्तारमिच्छनित', 'षण्ढं', 'पतिमिव', 'स्त्रियः', '॥']"
समाने शोभते प्रीती राज्ञि सेवा च शोभते। वाणिज्यं व्यवहारेषु स्त्री दिव्या शोभते गृहे ॥,"['समाने', 'शोभते', 'प्रीती', 'राज्ञि', 'सेवा', 'च', 'शोभते।', 'वाणिज्यं', 'व्यवहारेषु', 'स्त्री', 'दिव्या', 'शोभते', 'गृहे', '॥']"
हेतुरत्र भविष्यति ॥,"['हेतुरत्र', 'भविष्यति', '॥']"
पर्जन्यनाथाः पशवो राजानो मन्त्रिबान्धवाः । पतयो बान्धवाः स्त्रीणां ब्राह्मणा वेदबान्धवाः ॥,"['पर्जन्यनाथाः', 'पशवो', 'राजानो', 'मन्त्रिबान्धवाः', '।', 'पतयो', 'बान्धवाः', 'स्त्रीणां', 'ब्राह्मणा', 'वेदबान्धवाः', '॥']"
यस्मै देवाः प्रयच्छन्ति पुरुषाय प्रराभवम्। बुद्धिं तस्यापकर्षन्ति सोऽवाचीनानि पश्यति ॥,"['यस्मै', 'देवाः', 'प्रयच्छन्ति', 'पुरुषाय', 'प्रराभवम्।', 'बुद्धिं', 'तस्यापकर्षन्ति', 'सोऽवाचीनानि', 'पश्यति', '॥']"
दानं होमं दैवतं मङ्गलानि प्रायश्चित्तान् विविधान् लोकवादान् । एतानि यः कुरुत नैत्यकानि तस्योत्थानं देवता राधयन्ति ॥,"['दानं', 'होमं', 'दैवतं', 'मङ्गलानि', 'प्रायश्चित्तान्', 'विविधान्', 'लोकवादान्', '।', 'एतानि', 'यः', 'कुरुत', 'नैत्यकानि', 'तस्योत्थानं', 'देवता', 'राधयन्ति', '॥']"
न विश्वसेत्कुमित्रे च मित्रे चापि न विश्वसेत्। कदाचित्कुपितं मित्रं सर्वं गुह्यं प्रकाशयेत् ॥,"['न', 'विश्वसेत्कुमित्रे', 'च', 'मित्रे', 'चापि', 'न', 'विश्वसेत्।', 'कदाचित्कुपितं', 'मित्रं', 'सर्वं', 'गुह्यं', 'प्रकाशयेत्', '॥']"
दुःखेनासाद्यते पात्रम् ॥,"['दुःखेनासाद्यते', 'पात्रम्', '॥']"
अलब्धलाभो नालसस्य ॥,"['अलब्धलाभो', 'नालसस्य', '॥']"
